PPM,DM,vmag,sptype,ra (hrs),dec (deg),pmra (mas/yr),pmdec (mas/yr),ura (mas),udec (mas),upmra (mas/yr),upmdec (mas/yr)
5799,BD+10 2884,5.26,K0III:CN1Ba0.7Sr,15.60822222,10.01,45,-129,0,0,0,0
2404,CD-38 2730,6.44,G8III,6.552861111,-38.62527778,6,-22,0,0,0,0
6390,BD+10 3165,5.33,M2IIIa,17.20772222,10.58527778,1,-26,0,0,0,0
2882,CD-35 3650,6.68,B4V,7.523833333,-36.15277778,-4,22,0,0,0,0
1311,BD+53  750,5.19,A2Vn,4.278638889,53.61194444,-17,2,0,0,0,0
8610,BD+50 3770,4.63,A8IV,22.62288889,51.54527778,-54,-101,0,0,0,0
8994,BD+28 4627,4.93,K0III,23.73319444,29.36166667,71,-37,0,0,0,0
3042,CD-24 6030,3.34,G6Iab-Ib,7.821583333,-24.85972222,-3,-2,0,0,0,0
6476,CD-5011283,5.92,B9II,17.45344444,-50.63027778,-7,-4,0,0,0,0
5522,CP-82  629,5.65,G8-K0III,15.03077778,-83.22777778,16,53,0,0,0,0
7377,BD-14 5435,6.7,A1V,19.44016667,-14.55111111,39,-6,0,0,0,0
6024,BD-19 4333,4.01,B3V,16.19991667,-19.46055556,-10,-23,0,0,0,0
999,BD+42  750,4.95,A3V,3.357361111,43.32944444,-63,-6,0,0,0,0
3949,BD+22 2164,5.66,B2.5IV,10.04691667,21.94916667,-17,-6,0,0,0,0
6600,BD+04 3489,2.77,K2III,17.72455556,4.567222222,-40,159,0,0,0,0
2405,CP-65  610,6.29,F0III,6.500833333,-65.56833333,2,58,0,0,0,0
5045,CP-63 2743,5.31,F2III,13.42052778,-64.48527778,-157,-22,0,0,0,0
820,CP-67  181,6.26,F5V,2.724055556,-66.71444444,108,-70,0,0,0,0
8155,BD+21 4521,6.29,B6IV,21.33722222,22.02638889,3,10,0,0,0,0
2889,CP-54 1294,5.96,M1III,7.508583333,-54.39944444,18,21,0,0,0,0
3029,CD-39 3595,6.31,B8III,7.784944444,-39.33138889,-10,-5,0,0,0,0
5170,BD-11 3591,5.51,G8III,13.76563889,-12.42666667,-17,8,0,0,0,0
4873,CP-59 4494,5.72,A2Iabe,12.85494444,-60.32972222,-25,7,0,0,0,0
3362,BD+36 1836,6.24,F5Vb vw,8.556055556,36.43638889,-143,1,0,0,0,0
8642,BD-09 6038,6.45,A5V,22.71763889,-8.311666667,24,-6,0,0,0,0
761,BD+24  375,7.09,F4V,2.616027778,24.64833333,143,0,0,0,0,0
2971,CD-31 4910,6.56,G20-Ia,7.681305556,-31.66083333,14,12,0,0,0,0
3480,CD-24 7377,6.1,A2V:,8.763694444,-25.3875,-29,32,0,0,0,0
8288,BD+40 4611,6.11,A2V,21.69286111,40.80527778,-12,-46,0,0,0,0
4222,CD-31 8536,5.88,A1V,10.80394444,-31.68833333,-20,-13,0,0,0,0
4068,BD-22 2904,6.5,A3,10.35797222,-23.71083333,-49,19,0,0,0,0
7532,BD+33 3587,4.99,F7V,19.77377778,33.72777778,23,-446,0,0,0,0
4735,BD+27 2134,5,A4V,12.44980556,26.82555556,-6,-11,0,0,0,0
8648,BD+37 4670,6.43,B1V,22.71541667,37.80277778,11,-9,0,0,0,0
5058,CD-48 8202,6.31,A0III-IV,13.45175,-49.14388889,-21,-6,0,0,0,0
9082,BD+60 2657,5.55,F0III,0.026916667,61.22305556,-6,5,0,0,0,0
7389,BD+19 4017,5.81,M0III,19.44130556,19.89138889,-1,-46,0,0,0,0
3959,CD-24 8711,6.7,A0III-IV,10.0615,-25.31666667,-39,9,0,0,0,0
4177,CP-54 3915,4.28,G2-3Ib,10.65511111,-55.60333333,-19,5,0,0,0,0
5331,BD+70  778,5.24,M2IIIab,14.20111111,69.4325,-27,-47,0,0,0,0
5383,BD+09 2882,5.12,A0V,14.38963889,8.446666667,-75,-8,0,0,0,0
4286,BD-13 3271,5.88,K5III,11.00322222,-14.08333333,-18,-22,0,0,0,0
6232,BD-14 4486,6.03,A0Vn,16.8075,-14.90944444,-11,-4,0,0,0,0
